service_member_id,callsign_id,callsign,display_name,member_class,current_role,command_layer,lifecycle_state,readiness_state,legacy_alias,source_lineage
ATA-TROOPER_NOVEMBER-000,ATA-SM-TROOPER_NOVEMBER-001,@TROOPER_NOVEMBER,Trooper November,ai_agent,Blockchain Operations,Web3 Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_WHISKEY-000,ATA-SM-TROOPER_WHISKEY-001,@TROOPER_WHISKEY,Trooper Whiskey,ai_agent,Brand Intelligence,Brand Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_VICTOR-000,ATA-SM-TROOPER_VICTOR-001,@TROOPER_VICTOR,Trooper Victor,ai_agent,Marketing Warfare,Growth Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_UNIFORM-000,ATA-SM-TROOPER_UNIFORM-001,@TROOPER_UNIFORM,Trooper Uniform,ai_agent,Commerce Systems,Commerce Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-NOVA-000,ATA-SM-NOVA-001,@NOVA,Nova,ai_agent,Creative Systems & Vision Design,Creative Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_XRAY-000,ATA-SM-TROOPER_XRAY-001,@TROOPER_XRAY,Trooper Xray,ai_agent,Media Production,Media Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_TANGO-000,ATA-SM-TROOPER_TANGO-001,@TROOPER_TANGO,Trooper Tango,ai_agent,Freight & Logistics,Logistics Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-ORION-000,ATA-SM-ORION-001,@ORION,Orion,ai_agent,Recon & Opportunity Mapping,Recon Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_ZULU-000,ATA-SM-TROOPER_ZULU-001,@TROOPER_ZULU,Trooper Zulu,ai_agent,Research & Reconnaissance,Recon Command,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-TROOPER_PHOENIX-000,ATA-SM-TROOPER_PHOENIX-001,@TROOPER_PHOENIX,Trooper Phoenix,ai_agent,"Innovation, Resilience & R&D",Continuity & R&D,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
